State,Year,Week,Cases,Percent
Alabama,2017,40,698,0.084642
Alaska,2017,40,326,0.0395319
Arizona,2017,40,406,0.049233
Arkansas,2017,40,37,0.0044868
California,2017,40,842,0.1021039
Colorado,2017,40,129,0.015643
Connecticut,2017,40,48,0.0058207
Delaware,2017,40,2,0.0002425
Florida,2017,40,0,0
Georgia,2017,40,850,0.103074
Hawaii,2017,40,23,0.0027891
Idaho,2017,40,2,0.0002425
Illinois,2017,40,571,0.0692415
Indiana,2017,40,68,0.0082459
Iowa,2017,40,12,0.0014552
Kansas,2017,40,66,0.0080034
Kentucky,2017,40,63,0.0076396
Louisiana,2017,40,1244,0.1508519
Maine,2017,40,9,0.0010914
Maryland,2017,40,71,0.0086097
Massachusetts,2017,40,186,0.022555
Michigan,2017,40,288,0.0349239
Minnesota,2017,40,99,0.0120051
Mississippi,2017,40,450,0.0545686
Missouri,2017,40,20,0.0024253
Montana,2017,40,6,0.0007276
Nebraska,2017,40,108,0.0130965
Nevada,2017,40,115,0.0139453
New Hampshire,2017,40,22,0.0026678
New Jersey,2017,40,481,0.0583278
New Mexico,2017,40,146,0.0177045
New York,2017,40,147,0.0178257
North Carolina,2017,40,149,0.0180683
North Dakota,2017,40,1,0.0001213
Ohio,2017,40,93,0.0112775
Oklahoma,2017,40,87,0.0105499
Oregon,2017,40,286,0.0346814
Pennsylvania,2017,40,611,0.074092
Rhode Island,2017,40,21,0.0025465
South Carolina,2017,40,140,0.0169769
South Dakota,2017,40,126,0.0152792
Tennessee,2017,40,46,0.0055781
Texas,2017,40,642,0.0778512
Utah,2017,40,37,0.0044868
Vermont,2017,40,50,0.0060632
Virginia,2017,40,1097,0.1330261
Washington,2017,40,12,0.0014552
West Virginia,2017,40,124,0.0150367
Wisconsin,2017,40,130,0.0157643
Wyoming,2017,40,54,0.0065482
Alabama,2017,41,738,0.0894925
Alaska,2017,41,139,0.0168556
Arizona,2017,41,373,0.0452313
Arkansas,2017,41,51,0.0061844
California,2017,41,731,0.0886437
Colorado,2017,41,142,0.0172194
Connecticut,2017,41,47,0.0056994
Delaware,2017,41,2,0.0002425
Florida,2017,41,0,0
Georgia,2017,41,982,0.1190808
Hawaii,2017,41,16,0.0019402
Idaho,2017,41,6,0.0007276
Illinois,2017,41,583,0.0706967
Indiana,2017,41,59,0.0071546
Iowa,2017,41,13,0.0015764
Kansas,2017,41,75,0.0090948
Kentucky,2017,41,103,0.0124901
Louisiana,2017,41,1286,0.1559449
Maine,2017,41,22,0.0026678
Maryland,2017,41,85,0.0103074
Massachusetts,2017,41,296,0.035894
Michigan,2017,41,310,0.0375917
Minnesota,2017,41,106,0.0128539
Mississippi,2017,41,318,0.0385618
Missouri,2017,41,23,0.0027891
Montana,2017,41,2,0.0002425
Nebraska,2017,41,119,0.0144304
Nevada,2017,41,115,0.0139453
New Hampshire,2017,41,14,0.0016977
New Jersey,2017,41,464,0.0562663
New Mexico,2017,41,121,0.0146729
New York,2017,41,133,0.0161281
North Carolina,2017,41,189,0.0229188
North Dakota,2017,41,6,0.0007276
Ohio,2017,41,129,0.015643
Oklahoma,2017,41,163,0.019766
Oregon,2017,41,311,0.037713
Pennsylvania,2017,41,533,0.0646335
Rhode Island,2017,41,13,0.0015764
South Carolina,2017,41,119,0.0144304
South Dakota,2017,41,141,0.0170982
Tennessee,2017,41,48,0.0058207
Texas,2017,41,654,0.0793064
Utah,2017,41,37,0.0044868
Vermont,2017,41,49,0.0059419
Virginia,2017,41,1141,0.1383617
Washington,2017,41,28,0.0033954
West Virginia,2017,41,106,0.0128539
Wisconsin,2017,41,105,0.0127327
Wyoming,2017,41,88,0.0106712
Alabama,2017,42,710,0.0860971
Alaska,2017,42,183,0.0221912
Arizona,2017,42,374,0.0453526
Arkansas,2017,42,35,0.0042442
California,2017,42,819,0.0993149
Colorado,2017,42,158,0.0191596
Connecticut,2017,42,47,0.0056994
Delaware,2017,42,1,0.0001213
Florida,2017,42,0,0
Georgia,2017,42,1022,0.1239314
Hawaii,2017,42,36,0.0043655
Idaho,2017,42,5,0.0006063
Illinois,2017,42,485,0.0588128
Indiana,2017,42,69,0.0083672
Iowa,2017,42,9,0.0010914
Kansas,2017,42,65,0.0078821
Kentucky,2017,42,104,0.0126114
Louisiana,2017,42,1484,0.1799551
Maine,2017,42,35,0.0042442
Maryland,2017,42,72,0.008731
Massachusetts,2017,42,279,0.0338325
Michigan,2017,42,373,0.0452313
Minnesota,2017,42,106,0.0128539
Mississippi,2017,42,314,0.0380768
Missouri,2017,42,34,0.004123
Montana,2017,42,2,0.0002425
Nebraska,2017,42,206,0.0249803
Nevada,2017,42,136,0.0164918
New Hampshire,2017,42,16,0.0019402
New Jersey,2017,42,552,0.0669375
New Mexico,2017,42,161,0.0195234
New York,2017,42,186,0.022555
North Carolina,2017,42,160,0.0194022
North Dakota,2017,42,3,0.0003638
Ohio,2017,42,138,0.0167344
Oklahoma,2017,42,146,0.0177045
Oregon,2017,42,378,0.0458376
Pennsylvania,2017,42,587,0.0711817
Rhode Island,2017,42,26,0.0031529
South Carolina,2017,42,133,0.0161281
South Dakota,2017,42,163,0.019766
Tennessee,2017,42,49,0.0059419
Texas,2017,42,641,0.0777299
Utah,2017,42,52,0.0063057
Vermont,2017,42,56,0.0067908
Virginia,2017,42,1240,0.1503668
Washington,2017,42,44,0.0053356
West Virginia,2017,42,85,0.0103074
Wisconsin,2017,42,107,0.0129752
Wyoming,2017,42,50,0.0060632
Alabama,2017,43,799,0.0968896
Alaska,2017,43,160,0.0194022
Arizona,2017,43,408,0.0494755
Arkansas,2017,43,70,0.0084885
California,2017,43,898,0.1088947
Colorado,2017,43,145,0.0175832
Connecticut,2017,43,64,0.0077609
Delaware,2017,43,3,0.0003638
District of Columbia,2017,43,279,0.0338325
Florida,2017,43,0,0
Georgia,2017,43,1165,0.1412721
Hawaii,2017,43,36,0.0043655
Idaho,2017,43,7,0.0008488
Illinois,2017,43,535,0.064876
Indiana,2017,43,81,0.0098224
Iowa,2017,43,11,0.0013339
Kansas,2017,43,82,0.0099436
Kentucky,2017,43,160,0.0194022
Louisiana,2017,43,1594,0.1932941
Maine,2017,43,33,0.0040017
Maryland,2017,43,74,0.0089735
Massachusetts,2017,43,337,0.0408658
Michigan,2017,43,375,0.0454738
Minnesota,2017,43,88,0.0106712
Mississippi,2017,43,467,0.0566301
Missouri,2017,43,39,0.0047293
Montana,2017,43,2,0.0002425
Nebraska,2017,43,208,0.0252228
Nevada,2017,43,124,0.0150367
New Hampshire,2017,43,23,0.0027891
New Jersey,2017,43,546,0.0662099
New Mexico,2017,43,157,0.0190384
New York,2017,43,195,0.0236464
North Carolina,2017,43,244,0.0295883
North Dakota,2017,43,9,0.0010914
Ohio,2017,43,152,0.0184321
Oklahoma,2017,43,162,0.0196447
Oregon,2017,43,387,0.046929
Pennsylvania,2017,43,557,0.0675438
Rhode Island,2017,43,35,0.0042442
South Carolina,2017,43,176,0.0213424
South Dakota,2017,43,201,0.024374
Tennessee,2017,43,57,0.006912
Texas,2017,43,710,0.0860971
Utah,2017,43,57,0.006912
Vermont,2017,43,47,0.0056994
Virginia,2017,43,1434,0.173892
Washington,2017,43,17,0.0020615
West Virginia,2017,43,107,0.0129752
Wisconsin,2017,43,121,0.0146729
Wyoming,2017,43,96,0.0116413
Alabama,2017,44,979,0.118717
Alaska,2017,44,137,0.0166131
Arizona,2017,44,471,0.0571151
Arkansas,2017,44,63,0.0076396
California,2017,44,941,0.114109
Colorado,2017,44,191,0.0231613
Connecticut,2017,44,67,0.0081247
Delaware,2017,44,14,0.0016977
District of Columbia,2017,44,232,0.0281331
Florida,2017,44,0,0
Georgia,2017,44,1208,0.1464864
Hawaii,2017,44,31,0.0037592
Idaho,2017,44,15,0.001819
Illinois,2017,44,549,0.0665737
Indiana,2017,44,80,0.0097011
Iowa,2017,44,21,0.0025465
Kansas,2017,44,84,0.0101861
Kentucky,2017,44,182,0.02207
Louisiana,2017,44,1933,0.2344025
Maine,2017,44,14,0.0016977
Maryland,2017,44,70,0.0084885
Massachusetts,2017,44,338,0.0409871
Michigan,2017,44,340,0.0412296
Minnesota,2017,44,99,0.0120051
Mississippi,2017,44,413,0.0500819
Missouri,2017,44,92,0.0111562
Montana,2017,44,7,0.0008488
Nebraska,2017,44,223,0.0270418
Nevada,2017,44,167,0.020251
New Hampshire,2017,44,24,0.0029103
New Jersey,2017,44,580,0.0703329
New Mexico,2017,44,200,0.0242527
New York,2017,44,204,0.0247378
North Carolina,2017,44,282,0.0341963
North Dakota,2017,44,6,0.0007276
Ohio,2017,44,162,0.0196447
Oklahoma,2017,44,196,0.0237677
Oregon,2017,44,454,0.0550537
Pennsylvania,2017,44,664,0.080519
Rhode Island,2017,44,29,0.0035166
South Carolina,2017,44,198,0.0240102
South Dakota,2017,44,193,0.0234039
Tennessee,2017,44,111,0.0134603
Texas,2017,44,774,0.093858
Utah,2017,44,48,0.0058207
Vermont,2017,44,40,0.0048505
Virginia,2017,44,1495,0.181289
Washington,2017,44,49,0.0059419
West Virginia,2017,44,84,0.0101861
Wisconsin,2017,44,106,0.0128539
Wyoming,2017,44,84,0.0101861
Alabama,2017,45,964,0.1168981
Alaska,2017,45,149,0.0180683
Arizona,2017,45,317,0.0384406
Arkansas,2017,45,60,0.0072758
California,2017,45,942,0.1142303
Colorado,2017,45,220,0.026678
Connecticut,2017,45,61,0.0073971
Delaware,2017,45,5,0.0006063
District of Columbia,2017,45,304,0.0368641
Florida,2017,45,0,0
Georgia,2017,45,1466,0.1777724
Hawaii,2017,45,41,0.0049718
Idaho,2017,45,7,0.0008488
Illinois,2017,45,633,0.0767598
Indiana,2017,45,70,0.0084885
Iowa,2017,45,22,0.0026678
Kansas,2017,45,125,0.0151579
Kentucky,2017,45,173,0.0209786
Louisiana,2017,45,2029,0.2460438
Maine,2017,45,22,0.0026678
Maryland,2017,45,88,0.0106712
Massachusetts,2017,45,441,0.0534772
Michigan,2017,45,438,0.0531134
Minnesota,2017,45,107,0.0129752
Mississippi,2017,45,819,0.0993149
Missouri,2017,45,78,0.0094586
Montana,2017,45,4,0.0004851
Nebraska,2017,45,145,0.0175832
Nevada,2017,45,184,0.0223125
New Hampshire,2017,45,22,0.0026678
New Jersey,2017,45,612,0.0742133
New Mexico,2017,45,258,0.031286
New York,2017,45,232,0.0281331
North Carolina,2017,45,263,0.0318923
North Dakota,2017,45,10,0.0012126
Ohio,2017,45,186,0.022555
Oklahoma,2017,45,239,0.028982
Oregon,2017,45,520,0.0630571
Pennsylvania,2017,45,762,0.0924028
Rhode Island,2017,45,39,0.0047293
South Carolina,2017,45,215,0.0260717
South Dakota,2017,45,244,0.0295883
Tennessee,2017,45,174,0.0210999
Texas,2017,45,1109,0.1344813
Utah,2017,45,34,0.004123
Vermont,2017,45,47,0.0056994
Virginia,2017,45,1571,0.1905051
Washington,2017,45,55,0.0066695
West Virginia,2017,45,98,0.0118838
Wisconsin,2017,45,118,0.0143091
Wyoming,2017,45,70,0.0084885
Alabama,2017,46,1100,0.1333899
Alaska,2017,46,162,0.0196447
Arizona,2017,46,451,0.0546899
Arkansas,2017,46,114,0.013824
California,2017,46,1012,0.1227187
Colorado,2017,46,256,0.0310435
Connecticut,2017,46,80,0.0097011
Delaware,2017,46,3,0.0003638
District of Columbia,2017,46,352,0.0426848
Florida,2017,46,0,0
Georgia,2017,46,1541,0.1868672
Hawaii,2017,46,40,0.0048505
Idaho,2017,46,9,0.0010914
Illinois,2017,46,610,0.0739708
Indiana,2017,46,58,0.0070333
Iowa,2017,46,17,0.0020615
Kansas,2017,46,148,0.017947
Kentucky,2017,46,243,0.029467
Louisiana,2017,46,2303,0.27927
Maine,2017,46,37,0.0044868
Maryland,2017,46,150,0.0181895
Massachusetts,2017,46,472,0.0572364
Michigan,2017,46,394,0.0477778
Minnesota,2017,46,115,0.0139453
Mississippi,2017,46,1080,0.1309647
Missouri,2017,46,100,0.0121264
Montana,2017,46,4,0.0004851
Nebraska,2017,46,232,0.0281331
Nevada,2017,46,167,0.020251
New Hampshire,2017,46,11,0.0013339
New Jersey,2017,46,647,0.0784575
New Mexico,2017,46,427,0.0517795
New York,2017,46,236,0.0286182
North Carolina,2017,46,354,0.0429273
North Dakota,2017,46,6,0.0007276
Ohio,2017,46,201,0.024374
Oklahoma,2017,46,230,0.0278906
Oregon,2017,46,536,0.0649973
Pennsylvania,2017,46,808,0.097981
Rhode Island,2017,46,39,0.0047293
South Carolina,2017,46,226,0.0274056
South Dakota,2017,46,305,0.0369854
Tennessee,2017,46,138,0.0167344
Texas,2017,46,1365,0.1655248
Utah,2017,46,64,0.0077609
Vermont,2017,46,62,0.0075183
Virginia,2017,46,1814,0.2199721
Washington,2017,46,43,0.0052143
West Virginia,2017,46,107,0.0129752
Wisconsin,2017,46,37,0.0044868
Wyoming,2017,46,47,0.0056994
Alabama,2017,47,967,0.1172619
Alaska,2017,47,156,0.0189171
Arizona,2017,47,217,0.0263142
Arkansas,2017,47,48,0.0058207
California,2017,47,809,0.0981022
Colorado,2017,47,227,0.0275268
Connecticut,2017,47,57,0.006912
Delaware,2017,47,1,0.0001213
District of Columbia,2017,47,230,0.0278906
Florida,2017,47,0,0
Georgia,2017,47,1624,0.196932
Hawaii,2017,47,37,0.0044868
Idaho,2017,47,9,0.0010914
